Y,M,Radiation,Rad
1983,7,8.45,352.0833333
1983,7,7.45,310.4166667
1983,7,7.28,303.3333333
1983,7,7.7,320.8333333
1983,7,8.15,339.5833333
1983,7,7.97,332.0833333
1983,7,8.45,352.0833333
1983,7,7.51,312.9166667
1983,7,7.95,331.25
1983,7,6.31,262.9166667
1983,7,6.99,291.25
1983,7,8.39,349.5833333
1983,7,7.73,322.0833333
1983,7,7.57,315.4166667
1983,7,7.54,314.1666667
1983,7,7.69,320.4166667
1983,7,7.76,323.3333333
1983,7,7.39,307.9166667
1983,7,7.3,304.1666667
1983,7,7.05,293.75
1983,7,8.16,340
1983,7,7.73,322.0833333
1983,7,7.83,326.25
1983,7,8.25,343.75
1983,7,8.3,345.8333333
1983,7,7.8,325
1983,7,8.01,333.75
1983,7,8.16,340
1983,7,7.62,317.5
1983,7,7.46,310.8333333
1983,7,6.32,263.3333333
1983,8,6.31,262.9166667
1983,8,7.02,292.5
1983,8,7.17,298.75
1983,8,8,333.3333333
1983,8,7.38,307.5
1983,8,7.01,292.0833333
1983,8,6.8,283.3333333
1983,8,7.03,292.9166667
1983,8,7.03,292.9166667
1983,8,7.33,305.4166667
1983,8,7.71,321.25
1983,8,7.21,300.4166667
1983,8,7.05,293.75
1983,8,7.05,293.75
1983,8,6.78,282.5
1983,8,7.57,315.4166667
1983,8,7.65,318.75
1983,8,7.2,300
1983,8,7.03,292.9166667
1983,8,7.3,304.1666667
1983,8,6.72,280
1983,8,6.88,286.6666667
1983,8,7,291.6666667
1983,8,6.83,284.5833333
1983,8,7.35,306.25
1983,8,7.32,305
1983,8,6.55,272.9166667
1983,8,6.38,265.8333333
1983,8,7.22,300.8333333
1983,8,7.12,296.6666667
1983,8,6.8,283.3333333
1983,9,6.85,285.4166667
1983,9,6.2,258.3333333
1983,9,6.18,257.5
1983,9,6.1,254.1666667
1983,9,6.06,252.5
1983,9,5.9,245.8333333
1983,9,5.9,245.8333333
1983,9,6.17,257.0833333
1983,9,6.25,260.4166667
1983,9,6.24,260
1983,9,6.25,260.4166667
1983,9,6.46,269.1666667
1983,9,6.02,250.8333333
1983,9,6.19,257.9166667
1983,9,5.72,238.3333333
1983,9,6.32,263.3333333
1983,9,6.18,257.5
1983,9,6.06,252.5
1983,9,5.65,235.4166667
1983,9,4.9,204.1666667
1983,9,5.41,225.4166667
1983,9,4.3,179.1666667
1983,9,5.37,223.75
1983,9,5.2,216.6666667
1983,9,5.14,214.1666667
1983,9,5.45,227.0833333
1983,9,5.86,244.1666667
1983,9,5.53,230.4166667
1983,9,5.39,224.5833333
1983,9,5.39,224.5833333
1983,10,5.21,217.0833333
1983,10,5.04,210
1983,10,4.52,188.3333333
1983,10,5.39,224.5833333
1983,10,5.64,235
1983,10,5.13,213.75
1983,10,5.26,219.1666667
1983,10,5.11,212.9166667
1983,10,5.24,218.3333333
1983,10,4.77,198.75
1983,10,4.73,197.0833333
1983,10,4.47,186.25
1983,10,4.32,180
1983,10,4.7,195.8333333
1983,10,4.59,191.25
1983,10,4.71,196.25
1983,10,4.36,181.6666667
1983,10,4.14,172.5
1983,10,4.73,197.0833333
1983,10,4.54,189.1666667
1983,10,4.37,182.0833333
1983,10,3.37,140.4166667
1983,10,4.12,171.6666667
1983,10,3.99,166.25
1983,10,3.68,153.3333333
1983,10,2.68,111.6666667
1983,10,1.44,60
1983,10,1.53,63.75
1983,10,0.94,39.16666667
1983,10,3.97,165.4166667
1983,10,3.56,148.3333333
1983,11,3.56,148.3333333
1983,11,3.4,141.6666667
1983,11,3.33,138.75
1983,11,3.01,125.4166667
1983,11,2.41,100.4166667
1983,11,3.05,127.0833333
1983,11,2.53,105.4166667
1983,11,3.12,130
1983,11,3.88,161.6666667
1983,11,3.14,130.8333333
1983,11,2.22,92.5
1983,11,1.92,80
1983,11,1.98,82.5
1983,11,2.44,101.6666667
1983,11,2.57,107.0833333
1983,11,2.08,86.66666667
1983,11,2.41,100.4166667
1983,11,1.1,45.83333333
1983,11,2.04,85
1983,11,2.16,90
1983,11,2.56,106.6666667
1983,11,2.48,103.3333333
1983,11,1.99,82.91666667
1983,11,2.37,98.75
1983,11,2.74,114.1666667
1983,11,2.71,112.9166667
1983,11,2.31,96.25
1983,11,1.92,80
1983,11,1.16,48.33333333
1983,11,1.34,55.83333333
1983,12,1.56,65
1983,12,2.97,123.75
1983,12,1.59,66.25
1983,12,2.42,100.8333333
1983,12,3.18,132.5
1983,12,2.97,123.75
1983,12,2.35,97.91666667
1983,12,1.91,79.58333333
1983,12,1.51,62.91666667
1983,12,1.55,64.58333333
1983,12,3.09,128.75
1983,12,2.13,88.75
1983,12,2.32,96.66666667
1983,12,3.12,130
1983,12,2.32,96.66666667
1983,12,2.45,102.0833333
1983,12,2.87,119.5833333
1983,12,3.23,134.5833333
1983,12,2.36,98.33333333
1983,12,2.08,86.66666667
1983,12,1.49,62.08333333
1983,12,3.18,132.5
1983,12,2.28,95
1983,12,2.26,94.16666667
1983,12,2.1,87.5
1983,12,3.1,129.1666667
1983,12,2.12,88.33333333
1983,12,2.77,115.4166667
1983,12,2.83,117.9166667
1983,12,3.08,128.3333333
1983,12,2.74,114.1666667
1984,1,2.03,84.58333333
1984,1,2.55,106.25
1984,1,2.58,107.5
1984,1,1.6,66.66666667
1984,1,2.12,88.33333333
1984,1,1.18,49.16666667
1984,1,1.52,63.33333333
1984,1,2,83.33333333
1984,1,2.09,87.08333333
1984,1,1.96,81.66666667
1984,1,2.57,107.0833333
1984,1,1.61,67.08333333
1984,1,0.79,32.91666667
1984,1,1.9,79.16666667
1984,1,2.52,105
1984,1,2.95,122.9166667
1984,1,1.63,67.91666667
1984,1,3.39,141.25
1984,1,2.58,107.5
1984,1,2.88,120
1984,1,2.05,85.41666667
1984,1,2.31,96.25
1984,1,1.53,63.75
1984,1,1.71,71.25
1984,1,1.41,58.75
1984,1,1.91,79.58333333
1984,1,2.76,115
1984,1,4.01,167.0833333
1984,1,3.83,159.5833333
1984,1,3.77,157.0833333
1984,1,1.72,71.66666667
1984,2,3.1,129.1666667
1984,2,3.14,130.8333333
1984,2,4.05,168.75
1984,2,4.17,173.75
1984,2,4.14,172.5
1984,2,1.82,75.83333333
1984,2,1.54,64.16666667
1984,2,3.13,130.4166667
1984,2,2.45,102.0833333
1984,2,4.43,184.5833333
1984,2,4.12,171.6666667
1984,2,1.49,62.08333333
1984,2,3.03,126.25
1984,2,4.07,169.5833333
1984,2,3.05,127.0833333
1984,2,4.09,170.4166667
1984,2,4.6,191.6666667
1984,2,4.48,186.6666667
1984,2,4.58,190.8333333
1984,2,3.18,132.5
1984,2,4.26,177.5
1984,2,5.09,212.0833333
1984,2,4.95,206.25
1984,2,4.91,204.5833333
1984,2,5.31,221.25
1984,2,5.34,222.5
1984,2,5.46,227.5
1984,2,3.62,150.8333333
1984,2,2.99,124.5833333
1984,3,2.66,110.8333333
1984,3,1.65,68.75
1984,3,1.86,77.5
1984,3,5.12,213.3333333
1984,3,4.53,188.75
1984,3,1.83,76.25
1984,3,4.7,195.8333333
1984,3,3.4,141.6666667
1984,3,1.72,71.66666667
1984,3,4.07,169.5833333
1984,3,3.33,138.75
1984,3,4.35,181.25
1984,3,5.61,233.75
1984,3,4.18,174.1666667
1984,3,6.29,262.0833333
1984,3,3.38,140.8333333
1984,3,4.56,190
1984,3,5.27,219.5833333
1984,3,5.91,246.25
1984,3,2.66,110.8333333
1984,3,5.13,213.75
1984,3,3.15,131.25
1984,3,2.56,106.6666667
1984,3,6.3,262.5
1984,3,5.59,232.9166667
1984,3,6.55,272.9166667
1984,3,6.44,268.3333333
1984,3,6.48,270
1984,3,6.57,273.75
1984,3,6.69,278.75
1984,3,6.41,267.0833333
1984,4,4.91,204.5833333
1984,4,6.74,280.8333333
1984,4,6.5,270.8333333
1984,4,6.23,259.5833333
1984,4,6.38,265.8333333
1984,4,6.95,289.5833333
1984,4,5.17,215.4166667
1984,4,3.42,142.5
1984,4,4.83,201.25
1984,4,3.31,137.9166667
1984,4,5.29,220.4166667
1984,4,5.73,238.75
1984,4,6.45,268.75
1984,4,5.84,243.3333333
1984,4,4.56,190
1984,4,5.28,220
1984,4,3.83,159.5833333
1984,4,7.4,308.3333333
1984,4,6.4,266.6666667
1984,4,4.88,203.3333333
1984,4,5.42,225.8333333
1984,4,6.12,255
1984,4,6.12,255
1984,4,6.73,280.4166667
1984,4,6.74,280.8333333
1984,4,5,208.3333333
1984,4,4.59,191.25
1984,4,6.85,285.4166667
1984,4,7.85,327.0833333
1984,4,8.2,341.6666667
1984,5,5.54,230.8333333
1984,5,6.26,260.8333333
1984,5,7.21,300.4166667
1984,5,8.09,337.0833333
1984,5,8.44,351.6666667
1984,5,7.81,325.4166667
