YEAR,MO,DY,Radiation2
1983,7,1,352.0833333
1983,7,2,310.4166667
1983,7,3,303.3333333
1983,7,4,320.8333333
1983,7,5,339.5833333
1983,7,6,332.0833333
1983,7,7,352.0833333
1983,7,8,312.9166667
1983,7,9,331.25
1983,7,10,262.9166667
1983,7,11,291.25
1983,7,12,349.5833333
1983,7,13,322.0833333
1983,7,14,315.4166667
1983,7,15,314.1666667
1983,7,16,320.4166667
1983,7,17,323.3333333
1983,7,18,307.9166667
1983,7,19,304.1666667
1983,7,20,293.75
1983,7,21,340
1983,7,22,322.0833333
1983,7,23,326.25
1983,7,24,343.75
1983,7,25,345.8333333
1983,7,26,325
1983,7,27,333.75
1983,7,28,340
1983,7,29,317.5
1983,7,30,310.8333333
1983,7,31,263.3333333
1983,8,1,262.9166667
1983,8,2,292.5
1983,8,3,298.75
1983,8,4,333.3333333
1983,8,5,307.5
1983,8,6,292.0833333
1983,8,7,283.3333333
1983,8,8,292.9166667
1983,8,9,292.9166667
1983,8,10,305.4166667
1983,8,11,321.25
1983,8,12,300.4166667
1983,8,13,293.75
1983,8,14,293.75
1983,8,15,282.5
1983,8,16,315.4166667
1983,8,17,318.75
1983,8,18,300
1983,8,19,292.9166667
1983,8,20,304.1666667
1983,8,21,280
1983,8,22,286.6666667
1983,8,23,291.6666667
1983,8,24,284.5833333
1983,8,25,306.25
1983,8,26,305
1983,8,27,272.9166667
1983,8,28,265.8333333
1983,8,29,300.8333333
1983,8,30,296.6666667
1983,8,31,283.3333333
1983,9,1,285.4166667
1983,9,2,258.3333333
1983,9,3,257.5
1983,9,4,254.1666667
1983,9,5,252.5
1983,9,6,245.8333333
1983,9,7,245.8333333
1983,9,8,257.0833333
1983,9,9,260.4166667
1983,9,10,260
1983,9,11,260.4166667
1983,9,12,269.1666667
1983,9,13,250.8333333
1983,9,14,257.9166667
1983,9,15,238.3333333
1983,9,16,263.3333333
1983,9,17,257.5
1983,9,18,252.5
1983,9,19,235.4166667
1983,9,20,204.1666667
1983,9,21,225.4166667
1983,9,22,179.1666667
1983,9,23,223.75
1983,9,24,216.6666667
1983,9,25,214.1666667
1983,9,26,227.0833333
1983,9,27,244.1666667
1983,9,28,230.4166667
1983,9,29,224.5833333
1983,9,30,224.5833333
1983,10,1,217.0833333
1983,10,2,210
1983,10,3,188.3333333
1983,10,4,224.5833333
1983,10,5,235
1983,10,6,213.75
1983,10,7,219.1666667
1983,10,8,212.9166667
1983,10,9,218.3333333
1983,10,10,198.75
1983,10,11,197.0833333
1983,10,12,186.25
1983,10,13,180
1983,10,14,195.8333333
1983,10,15,191.25
1983,10,16,196.25
1983,10,17,181.6666667
1983,10,18,172.5
1983,10,19,197.0833333
1983,10,20,189.1666667
1983,10,21,182.0833333
1983,10,22,140.4166667
1983,10,23,171.6666667
1983,10,24,166.25
1983,10,25,153.3333333
1983,10,26,111.6666667
1983,10,27,60
1983,10,28,63.75
1983,10,29,39.16666667
1983,10,30,165.4166667
1983,10,31,148.3333333
1983,11,1,148.3333333
1983,11,2,141.6666667
1983,11,3,138.75
1983,11,4,125.4166667
1983,11,5,100.4166667
1983,11,6,127.0833333
1983,11,7,105.4166667
1983,11,8,130
1983,11,9,161.6666667
1983,11,10,130.8333333
1983,11,11,92.5
1983,11,12,80
1983,11,13,82.5
1983,11,14,101.6666667
1983,11,15,107.0833333
1983,11,16,86.66666667
1983,11,17,100.4166667
1983,11,18,45.83333333
1983,11,19,85
1983,11,20,90
1983,11,21,106.6666667
1983,11,22,103.3333333
1983,11,23,82.91666667
1983,11,24,98.75
1983,11,25,114.1666667
1983,11,26,112.9166667
1983,11,27,96.25
1983,11,28,80
1983,11,29,48.33333333
1983,11,30,55.83333333
1983,12,1,65
1983,12,2,123.75
1983,12,3,66.25
1983,12,4,100.8333333
1983,12,5,132.5
1983,12,6,123.75
1983,12,7,97.91666667
1983,12,8,79.58333333
1983,12,9,62.91666667
1983,12,10,64.58333333
1983,12,11,128.75
1983,12,12,88.75
1983,12,13,96.66666667
1983,12,14,130
1983,12,15,96.66666667
1983,12,16,102.0833333
1983,12,17,119.5833333
1983,12,18,134.5833333
1983,12,19,98.33333333
1983,12,20,86.66666667
1983,12,21,62.08333333
1983,12,22,132.5
1983,12,23,95
1983,12,24,94.16666667
1983,12,25,87.5
1983,12,26,129.1666667
1983,12,27,88.33333333
1983,12,28,115.4166667
1983,12,29,117.9166667
1983,12,30,128.3333333
1983,12,31,114.1666667
1984,1,1,84.58333333
1984,1,2,106.25
1984,1,3,107.5
1984,1,4,66.66666667
1984,1,5,88.33333333
1984,1,6,49.16666667
1984,1,7,63.33333333
1984,1,8,83.33333333
1984,1,9,87.08333333
1984,1,10,81.66666667
1984,1,11,107.0833333
1984,1,12,67.08333333
1984,1,13,32.91666667
1984,1,14,79.16666667
1984,1,15,105
1984,1,16,122.9166667
1984,1,17,67.91666667
1984,1,18,141.25
1984,1,19,107.5
1984,1,20,120
1984,1,21,85.41666667
1984,1,22,96.25
1984,1,23,63.75
1984,1,24,71.25
1984,1,25,58.75
1984,1,26,79.58333333
1984,1,27,115
1984,1,28,167.0833333
1984,1,29,159.5833333
1984,1,30,157.0833333
1984,1,31,71.66666667
1984,2,1,129.1666667
1984,2,2,130.8333333
1984,2,3,168.75
1984,2,4,173.75
1984,2,5,172.5
1984,2,6,75.83333333
1984,2,7,64.16666667
1984,2,8,130.4166667
1984,2,9,102.0833333
1984,2,10,184.5833333
1984,2,11,171.6666667
1984,2,12,62.08333333
1984,2,13,126.25
1984,2,14,169.5833333
1984,2,15,127.0833333
1984,2,16,170.4166667
1984,2,17,191.6666667
1984,2,18,186.6666667
1984,2,19,190.8333333
1984,2,20,132.5
1984,2,21,177.5
1984,2,22,212.0833333
1984,2,23,206.25
1984,2,24,204.5833333
1984,2,25,221.25
1984,2,26,222.5
1984,2,27,227.5
1984,2,28,150.8333333
1984,2,29,124.5833333
1984,3,1,110.8333333
1984,3,2,68.75
1984,3,3,77.5
1984,3,4,213.3333333
1984,3,5,188.75
1984,3,6,76.25
1984,3,7,195.8333333
1984,3,8,141.6666667
1984,3,9,71.66666667
1984,3,10,169.5833333
1984,3,11,138.75
1984,3,12,181.25
1984,3,13,233.75
1984,3,14,174.1666667
1984,3,15,262.0833333
1984,3,16,140.8333333
1984,3,17,190
1984,3,18,219.5833333
1984,3,19,246.25
1984,3,20,110.8333333
1984,3,21,213.75
1984,3,22,131.25
1984,3,23,106.6666667
1984,3,24,262.5
1984,3,25,232.9166667
1984,3,26,272.9166667
1984,3,27,268.3333333
1984,3,28,270
1984,3,29,273.75
1984,3,30,278.75
1984,3,31,267.0833333
1984,4,1,204.5833333
1984,4,2,280.8333333
1984,4,3,270.8333333
1984,4,4,259.5833333
1984,4,5,265.8333333
1984,4,6,289.5833333
1984,4,7,215.4166667
1984,4,8,142.5
1984,4,9,201.25
1984,4,10,137.9166667
1984,4,11,220.4166667
1984,4,12,238.75
1984,4,13,268.75
1984,4,14,243.3333333
1984,4,15,190
1984,4,16,220
1984,4,17,159.5833333
1984,4,18,308.3333333
1984,4,19,266.6666667
1984,4,20,203.3333333
1984,4,21,225.8333333
1984,4,22,255
1984,4,23,255
1984,4,24,280.4166667
1984,4,25,280.8333333
1984,4,26,208.3333333
1984,4,27,191.25
1984,4,28,285.4166667
1984,4,29,327.0833333
1984,4,30,341.6666667
1984,5,1,230.8333333
1984,5,2,260.8333333
1984,5,3,300.4166667
1984,5,4,337.0833333
1984,5,5,351.6666667
1984,5,6,325.4166667
1984,5,7,295.8333333
1984,5,8,300.8333333
1984,5,9,297.5
1984,5,10,322.9166667
1984,5,11,269.1666667
1984,5,12,320
1984,5,13,148.3333333
1984,5,14,346.25
1984,5,15,340
1984,5,16,346.25
1984,5,17,274.1666667
1984,5,18,173.75
1984,5,19,315.4166667
1984,5,20,350.4166667
1984,5,21,185.8333333
1984,5,22,302.5
1984,5,23,320
1984,5,24,271.25
1984,5,25,295.4166667
1984,5,26,250.8333333
1984,5,27,364.1666667
1984,5,28,358.75
1984,5,29,234.5833333
1984,5,30,352.0833333
1984,5,31,343.3333333
1984,6,1,161.6666667
1984,6,2,294.5833333
1984,6,3,310.4166667
1984,6,4,341.25
1984,6,5,356.6666667
1984,6,6,358.3333333
1984,6,7,353.3333333
1984,6,8,361.25
1984,6,9,330.4166667
1984,6,10,369.1666667
1984,6,11,362.0833333
1984,6,12,360.4166667
1984,6,13,355.8333333
1984,6,14,347.5
1984,6,15,369.5833333
